"","x"
"1",0.0385549573496406
"2",-0.28318436652992
"3",-0.461613363622882
"4",-0.635754225826672
"5",-0.682406388157769
"6",-0.648310433180589
"7",-0.766920368394653
"8",-0.855248834192941
"9",-0.526576889386086
"10",-0.640375422011773
"11",-0.513379430097265
"12",-0.420485500674706
"13",-0.520479827775499
"14",-0.328659152734138
"15",-0.129837927911519
"16",-0.270046692797925
"17",-0.427256626804111
"18",-0.4626750598694
"19",-0.361723959570835
"20",-0.476924060825684
"21",-0.550131982575489
"22",-0.955901434755644
"23",-0.890990684965215
"24",-0.79496488380843
"25",-0.901783060158791
"26",-0.842069124925702
"27",-1.03915260933498
"28",-0.87467552898483
"29",-0.910090167849626
"30",-0.868401823543373
"31",-0.644784457372451
"32",-0.62577989141593
"33",-0.80911669671812
"34",-0.841561554030414
"35",-0.920724742796227
"36",-1.00416375680687
"37",-0.9840915103126
"38",-0.961372953285433
"39",-1.09881776897191
"40",-1.28315756314396
"41",-1.19223469136661
"42",-1.16231526791071
"43",-1.20948672991426
"44",-1.363330195732
"45",-1.278672978535
"46",-1.334478619037
"47",-1.25192840573762
"48",-1.28065766631199
"49",-1.3366415786741
"50",-1.52147335661231
"51",-1.34213959536839
"52",-1.56958126505668
"53",-1.75837408259626
"54",-1.69538207485536
"55",-1.84024463038629
"56",-1.89860497877667
"57",-1.78594510098663
"58",-1.72885908968748
"59",-1.92162917277437
"60",-1.71659470776752
"61",-1.50116603294263
"62",-1.51165551786618
"63",-1.4698478096893
"64",-1.53153878303981
"65",-1.63131904051778
"66",-1.69863634198167
"67",-1.79453515428194
"68",-1.81215160738664
"69",-1.67601102185868
"70",-1.36823421308881
"71",-1.42248241801025
"72",-1.53110853829607
"73",-1.81189779276202
"74",-1.8016090132543
"75",-1.63844035255009
"76",-1.74140454979703
"77",-1.70947895856495
"78",-1.74136622389548
"79",-1.72465161081868
"80",-1.73322771956309
"81",-1.89094918215841
"82",-1.96990276289235
"83",-1.9310188538054
"84",-1.97644436726827
"85",-1.8647880311789
"86",-1.72033111374011
"87",-1.74601771073552
"88",-1.60312504146842
"89",-1.52802409573099
"90",-1.41744672615697
"91",-1.56854773855504
"92",-1.38978766002339
"93",-1.4067407231812
"94",-1.37989808112508
"95",-1.45804524372174
"96",-1.34718809291426
"97",-1.20099506783518
"98",-1.17199470286109
"99",-1.35854073172021
"100",-1.50603181766119
"101",-1.4597747094685
"102",-1.50278055297882
"103",-1.56201399785915
"104",-1.57563519098279
"105",-1.62760173134594
"106",-1.69324171153569
"107",-1.77418032556194
"108",-1.6901932302567
"109",-1.52662962230843
"110",-1.35936591165391
"111",-1.34410643669779
"112",-1.22185400957493
"113",-1.39065887684797
"114",-1.23668278273352
"115",-1.27123883868705
"116",-1.20740302388371
"117",-1.1496004332291
"118",-1.09423339086685
"119",-0.880619880347336
"120",-0.887220658141819
"121",-1.09060120514165
